Image,Bbox,Confidence
1001,"[[    0.91937     0.34684     0.16099     0.07199]
 [    0.63712      0.3623     0.39007     0.32512]]",[    0.66432     0.42296]
1006,"[[    0.57964      0.4114     0.39576     0.22854]
 [    0.15341     0.67435     0.30682     0.30886]]",[    0.78459     0.75298]
1008,"[[    0.66123     0.58402      0.3864    0.066429]
 [    0.66743     0.11213     0.38711     0.11662]
 [    0.25639     0.11501      0.3379    0.089724]
 [    0.45766     0.27136     0.25732    0.055363]]",[    0.81002     0.60842     0.58017     0.47423]
1013,"[[    0.31366     0.56412     0.23994    0.089017]
 [    0.51014     0.56474     0.15094    0.087374]
 [    0.40626     0.27989     0.38728     0.14498]
 [    0.81362     0.63355     0.24647    0.074315]]",[    0.89681     0.86778     0.82159     0.45597]
1017,"[[    0.72702     0.53153     0.24061     0.12983]
 [     0.4319     0.55338     0.34925     0.10483]
 [    0.55947     0.23974     0.33605    0.091348]
 [   0.036359    0.032582    0.072573    0.064086]
 [   0.022227     0.19625    0.044402    0.096874]
 [    0.20072     0.56802     0.12664    0.065301]]",[    0.87028     0.81913     0.65185     0.60297     0.60223     0.50791]
1022,"[[    0.71638     0.48329     0.39357     0.16781]
 [    0.28473     0.53162     0.37648     0.18429]]",[    0.79914     0.54703]
1024,"[[    0.73485      0.4691     0.33434     0.18381]
 [    0.36121      0.4787     0.38898     0.19244]]",[    0.82226     0.73315]
1444,"[[    0.39556     0.75719     0.35891     0.10459]
 [    0.69613     0.43015     0.38591     0.12596]
 [     0.3123     0.43298     0.37566     0.12447]]",[    0.85571       0.711     0.67548]
1448,[[     0.7226     0.57255     0.26977     0.26667]],[    0.72532]
1450,"[[    0.46928     0.53089     0.15835     0.03405]
 [    0.46548     0.42997     0.15524    0.034891]
 [    0.75193     0.59446    0.083406    0.040328]
 [    0.66879      0.2731    0.070178    0.039461]
 [    0.67964     0.36806    0.083281    0.045197]
 [    0.77651      0.4801     0.11023    0.041214]
 [    0.42204      0.5874    0.088247    0.040052]
 [    0.94979     0.55957     0.10043    0.059127]
 [    0.31528     0.51724    0.055752    0.029597]
 [    0.30575     0.62435    0.085285    0.025726]
 [    0.42432     0.50517    0.051172    0.030045]]",[    0.65632     0.63985      0.5837     0.54794     0.54393     0.54162     0.49253     0.48548     0.46969     0.45103     0.39044]
1455,"[[    0.33466     0.75581    0.098761    0.068695]
 [    0.15265     0.54401     0.30529    0.068543]
 [    0.58105     0.56285     0.38744    0.069048]
 [    0.89915     0.57901     0.19967      0.0529]
 [    0.80316     0.93411     0.15126    0.073707]]",[    0.81786     0.79702     0.69936     0.67764     0.65027]
1469,"[[    0.36486      0.3825     0.31231     0.17958]
 [    0.10365     0.39516     0.20703     0.16686]]",[    0.83943     0.82094]
1477,"[[    0.48755     0.65873     0.30889     0.15023]
 [    0.15564     0.68235     0.31103     0.13982]]",[    0.82098     0.79846]
1487,"[[    0.72791      0.6079     0.17707     0.12218]
 [    0.46366      0.3662     0.39349     0.19088]
 [    0.31115     0.36609     0.37897     0.19841]]",[    0.79709     0.79225     0.64004]
1501,"[[    0.33487     0.68378     0.23612     0.20096]
 [    0.18241     0.16757     0.36482     0.11089]
 [    0.55378       0.518     0.37204     0.12219]
 [    0.90589     0.53191     0.12882     0.15418]
 [    0.76522     0.77141     0.12395     0.27528]
 [     0.0268     0.60346    0.053502     0.18211]]",[    0.79368      0.7849     0.77514     0.71842     0.59179     0.48623]
1515,"[[    0.55316     0.92669     0.17034     0.14662]
 [    0.47517     0.24292     0.26965     0.11722]
 [    0.83973      0.9019     0.31927     0.18783]
 [    0.45681    0.090572     0.32942     0.10087]]",[    0.84556      0.7855     0.66216     0.56764]
1517,"[[    0.73789     0.64583     0.20161      0.1265]
 [    0.42705     0.48186     0.38742     0.10575]
 [       0.31       0.474      0.3721     0.10267]]",[    0.84785     0.76386     0.51973]
1567,"[[    0.64048     0.11698     0.20148    0.084374]
 [    0.72232     0.32975     0.38814     0.11216]
 [    0.29629     0.58162       0.379      0.1363]
 [    0.76849     0.57158     0.36892     0.14364]
 [    0.32161     0.68841     0.29227    0.086632]
 [    0.57861     0.97995    0.086181    0.040097]
 [    0.21735     0.56018     0.37231     0.13613]]",[    0.78554     0.71889      0.6739     0.66533     0.50945      0.4916     0.44792]
1570,"[[    0.63355     0.54207     0.34518     0.10174]
 [    0.38137     0.24392     0.13746    0.091914]
 [    0.37482     0.55489     0.15948    0.079238]
 [    0.24565     0.26584     0.12762    0.083197]
 [   0.074361     0.53693     0.14872     0.10346]
 [    0.22537     0.55684     0.13973    0.077337]]",[    0.88097     0.84978     0.84384     0.82133     0.81986        0.76]
1574,"[[    0.76159     0.97421    0.079133    0.038051]
 [     0.4981     0.17197     0.12102    0.059208]
 [    0.35591     0.18092     0.16514    0.085772]
 [      0.357     0.26048     0.15556    0.070453]
 [    0.79962     0.28536     0.12504    0.043488]
 [     0.8943     0.27353    0.058309    0.045463]
 [    0.96014     0.26682    0.070386    0.065915]]",[    0.74512     0.69836     0.66217     0.64183     0.62422     0.48194      0.4552]
1586,"[[    0.65975     0.38836     0.21861    0.099706]
 [     0.6355     0.23064     0.22604     0.11546]
 [    0.34124     0.61996     0.32017     0.12949]
 [     0.9152     0.51624     0.14361    0.089628]
 [    0.90543     0.67999     0.18128      0.1277]
 [    0.87292      0.3026     0.20481      0.1099]
 [    0.62812     0.13183     0.15159    0.072187]
 [    0.69974     0.58242     0.21384    0.078916]
 [     0.4521    0.074201     0.11796    0.065436]
 [    0.59149    0.019709     0.13055    0.039418]
 [   0.027247    0.038706    0.054254    0.066428]]",[    0.88026     0.86638     0.86091      0.8495     0.81745     0.81118     0.80618      0.7814      0.6598     0.46861     0.44249]
